Year,Gebietseinheit,sex,AGS,GeoCode,Value
1993,Niedersachsen,weiblich,0,K00,194933.0
1994,Niedersachsen,,0,K00,451938.0
1994,Niedersachsen,maennlich,0,K00,250898.0
1994,Niedersachsen,weiblich,0,K00,201040.0
1995,Niedersachsen,,0,K00,468755.0
1995,Niedersachsen,maennlich,0,K00,258873.0
1995,Niedersachsen,weiblich,0,K00,209882.0
1996,Niedersachsen,,0,K00,480029.0
1996,Niedersachsen,maennlich,0,K00,263382.0
1996,Niedersachsen,weiblich,0,K00,216647.0
1997,Niedersachsen,,0,K00,480550.0
1997,Niedersachsen,maennlich,0,K00,261514.0
1997,Niedersachsen,weiblich,0,K00,219036.0
1998,Niedersachsen,,0,K00,474124.0
1998,Niedersachsen,maennlich,0,K00,256067.0
1998,Niedersachsen,weiblich,0,K00,218057.0
1999,Niedersachsen,,0,K00,477446.0
1999,Niedersachsen,maennlich,0,K00,255771.0
1999,Niedersachsen,weiblich,0,K00,221675.0
2000,Niedersachsen,,0,K00,473515.0
2000,Niedersachsen,maennlich,0,K00,251652.0
2000,Niedersachsen,weiblich,0,K00,221863.0
2001,Niedersachsen,,0,K00,476095.0
2001,Niedersachsen,maennlich,0,K00,251837.0
2001,Niedersachsen,weiblich,0,K00,224258.0
2002,Niedersachsen,,0,K00,479312.0
2002,Niedersachsen,maennlich,0,K00,251975.0
2002,Niedersachsen,weiblich,0,K00,227337.0
2003,Niedersachsen,,0,K00,478053.0
2003,Niedersachsen,maennlich,0,K00,249523.0
2003,Niedersachsen,weiblich,0,K00,228530.0
2004,Niedersachsen,,0,K00,462383.0
2004,Niedersachsen,maennlich,0,K00,238972.0
2004,Niedersachsen,weiblich,0,K00,223411.0
2005,Niedersachsen,,0,K00,461486.0
2005,Niedersachsen,maennlich,0,K00,237244.0
2005,Niedersachsen,weiblich,0,K00,224242.0
2006,Niedersachsen,,0,K00,458757.0
2006,Niedersachsen,maennlich,0,K00,235826.0
2006,Niedersachsen,weiblich,0,K00,222931.0
2007,Niedersachsen,,0,K00,457099.0
2007,Niedersachsen,maennlich,0,K00,234098.0
2007,Niedersachsen,weiblich,0,K00,223001.0
2008,Niedersachsen,,0,K00,453141.0
2008,Niedersachsen,maennlich,0,K00,231830.0
2008,Niedersachsen,weiblich,0,K00,221311.0
2009,Niedersachsen,,0,K00,453636.0
2009,Niedersachsen,maennlich,0,K00,231895.0
2009,Niedersachsen,weiblich,0,K00,221741.0
2010,Niedersachsen,,0,K00,458153.0
2010,Niedersachsen,maennlich,0,K00,235118.0
2010,Niedersachsen,weiblich,0,K00,223035.0
2011,Niedersachsen,,0,K00,470683.0
2011,Niedersachsen,maennlich,0,K00,242335.0
2011,Niedersachsen,weiblich,0,K00,228348.0
2012,Niedersachsen,,0,K00,492072.0
2012,Niedersachsen,maennlich,0,K00,255855.0
2012,Niedersachsen,weiblich,0,K00,236217.0
2013,Niedersachsen,,0,K00,525689.0
2013,Niedersachsen,maennlich,0,K00,275914.0
2013,Niedersachsen,weiblich,0,K00,249775.0
2014,Niedersachsen,,0,K00,570988.0
2014,Niedersachsen,maennlich,0,K00,302438.0
2014,Niedersachsen,weiblich,0,K00,268550.0
2015,Niedersachsen,,0,K00,663817.0
2015,Niedersachsen,maennlich,0,K00,361111.0
2015,Niedersachsen,weiblich,0,K00,302706.0
2016,Niedersachsen,,0,K00,745185.0
2016,Niedersachsen,maennlich,0,K00,410010.0
2016,Niedersachsen,weiblich,0,K00,335175.0
2017,Niedersachsen,,0,K00,776860.0
2017,Niedersachsen,maennlich,0,K00,425770.0
2017,Niedersachsen,weiblich,0,K00,351090.0
2018,Niedersachsen,,0,K00,813080.0
2018,Niedersachsen,maennlich,0,K00,444740.0
2018,Niedersachsen,weiblich,0,K00,368340.0
1978,Statistische Region Braunschweig,,1,K01,67448.0
1978,Statistische Region Braunschweig,maennlich,1,K01,40386.0
1978,Statistische Region Braunschweig,weiblich,1,K01,27062.0
1979,Statistische Region Braunschweig,,1,K01,70451.0
1979,Statistische Region Braunschweig,maennlich,1,K01,42279.0
1979,Statistische Region Braunschweig,weiblich,1,K01,28172.0
1980,Statistische Region Braunschweig,,1,K01,76409.0
1980,Statistische Region Braunschweig,maennlich,1,K01,46200.0
1980,Statistische Region Braunschweig,weiblich,1,K01,30209.0
1981,Statistische Region Braunschweig,,1,K01,80118.0
1981,Statistische Region Braunschweig,maennlich,1,K01,48247.0
1981,Statistische Region Braunschweig,weiblich,1,K01,31871.0
1982,Statistische Region Braunschweig,,1,K01,79929.0
1982,Statistische Region Braunschweig,maennlich,1,K01,47603.0
1982,Statistische Region Braunschweig,weiblich,1,K01,32326.0
1983,Statistische Region Braunschweig,,1,K01,76665.0
1983,Statistische Region Braunschweig,maennlich,1,K01,45321.0
1983,Statistische Region Braunschweig,weiblich,1,K01,31344.0
1984,Statistische Region Braunschweig,,1,K01,70717.0
1984,Statistische Region Braunschweig,maennlich,1,K01,41652.0
1984,Statistische Region Braunschweig,weiblich,1,K01,29065.0
1985,Statistische Region Braunschweig,,1,K01,72514.0
1985,Statistische Region Braunschweig,maennlich,1,K01,43044.0
1985,Statistische Region Braunschweig,weiblich,1,K01,29470.0
1986,Statistische Region Braunschweig,,1,K01,76041.0
1986,Statistische Region Braunschweig,maennlich,1,K01,44902.0
1986,Statistische Region Braunschweig,weiblich,1,K01,31139.0
1987,Statistische Region Braunschweig,,1,K01,75411.0
1987,Statistische Region Braunschweig,maennlich,1,K01,43692.0
1987,Statistische Region Braunschweig,weiblich,1,K01,31719.0
1990,Statistische Region Braunschweig,,1,K01,90668.0
1990,Statistische Region Braunschweig,maennlich,1,K01,51777.0
1990,Statistische Region Braunschweig,weiblich,1,K01,38891.0
1991,Statistische Region Braunschweig,,1,K01,99360.0
1991,Statistische Region Braunschweig,maennlich,1,K01,57193.0
1991,Statistische Region Braunschweig,weiblich,1,K01,42167.0
1992,Statistische Region Braunschweig,,1,K01,113350.0
1992,Statistische Region Braunschweig,maennlich,1,K01,65449.0
1992,Statistische Region Braunschweig,weiblich,1,K01,47901.0
1993,Statistische Region Braunschweig,,1,K01,116055.0
1993,Statistische Region Braunschweig,maennlich,1,K01,66462.0
1993,Statistische Region Braunschweig,weiblich,1,K01,49593.0
1994,Statistische Region Braunschweig,,1,K01,109624.0
1994,Statistische Region Braunschweig,maennlich,1,K01,61268.0
1994,Statistische Region Braunschweig,weiblich,1,K01,48356.0
1995,Statistische Region Braunschweig,,1,K01,110606.0
1995,Statistische Region Braunschweig,maennlich,1,K01,61363.0
1995,Statistische Region Braunschweig,weiblich,1,K01,49243.0
1996,Statistische Region Braunschweig,,1,K01,110698.0
1996,Statistische Region Braunschweig,maennlich,1,K01,60913.0
1996,Statistische Region Braunschweig,weiblich,1,K01,49785.0
1997,Statistische Region Braunschweig,,1,K01,108694.0
1997,Statistische Region Braunschweig,maennlich,1,K01,59348.0
1997,Statistische Region Braunschweig,weiblich,1,K01,49346.0
1998,Statistische Region Braunschweig,,1,K01,106591.0
1998,Statistische Region Braunschweig,maennlich,1,K01,57622.0
1998,Statistische Region Braunschweig,weiblich,1,K01,48969.0
1999,Statistische Region Braunschweig,,1,K01,106307.0
1999,Statistische Region Braunschweig,maennlich,1,K01,56957.0
1999,Statistische Region Braunschweig,weiblich,1,K01,49350.0
2000,Statistische Region Braunschweig,,1,K01,105095.0
2000,Statistische Region Braunschweig,maennlich,1,K01,55939.0
2000,Statistische Region Braunschweig,weiblich,1,K01,49156.0
2001,Statistische Region Braunschweig,,1,K01,104159.0
2001,Statistische Region Braunschweig,maennlich,1,K01,55343.0
2001,Statistische Region Braunschweig,weiblich,1,K01,48816.0
2002,Statistische Region Braunschweig,,1,K01,103525.0
2002,Statistische Region Braunschweig,maennlich,1,K01,54729.0
2002,Statistische Region Braunschweig,weiblich,1,K01,48796.0
2003,Statistische Region Braunschweig,,1,K01,102680.0
2003,Statistische Region Braunschweig,maennlich,1,K01,53964.0
2003,Statistische Region Braunschweig,weiblich,1,K01,48716.0
2004,Statistische Region Braunschweig,,1,K01,100361.0
2004,Statistische Region Braunschweig,maennlich,1,K01,52338.0
2004,Statistische Region Braunschweig,weiblich,1,K01,48023.0
2005,Statistische Region Braunschweig,,1,K01,99536.0
2005,Statistische Region Braunschweig,maennlich,1,K01,51513.0
2005,Statistische Region Braunschweig,weiblich,1,K01,48023.0
2006,Statistische Region Braunschweig,,1,K01,97675.0
2006,Statistische Region Braunschweig,maennlich,1,K01,50273.0
2006,Statistische Region Braunschweig,weiblich,1,K01,47402.0
2007,Statistische Region Braunschweig,,1,K01,95376.0
2007,Statistische Region Braunschweig,maennlich,1,K01,48581.0
2007,Statistische Region Braunschweig,weiblich,1,K01,46795.0
2008,Statistische Region Braunschweig,,1,K01,93595.0
2008,Statistische Region Braunschweig,maennlich,1,K01,47557.0
2008,Statistische Region Braunschweig,weiblich,1,K01,46038.0
2009,Statistische Region Braunschweig,,1,K01,93485.0
2009,Statistische Region Braunschweig,maennlich,1,K01,47449.0
2009,Statistische Region Braunschweig,weiblich,1,K01,46036.0
2010,Statistische Region Braunschweig,,1,K01,93067.0
2010,Statistische Region Braunschweig,maennlich,1,K01,47131.0
2010,Statistische Region Braunschweig,weiblich,1,K01,45936.0
2011,Statistische Region Braunschweig,,1,K01,94569.0
2011,Statistische Region Braunschweig,maennlich,1,K01,47917.0
2011,Statistische Region Braunschweig,weiblich,1,K01,46652.0
2012,Statistische Region Braunschweig,,1,K01,97812.0
2012,Statistische Region Braunschweig,maennlich,1,K01,49887.0
2012,Statistische Region Braunschweig,weiblich,1,K01,47925.0
2013,Statistische Region Braunschweig,,1,K01,104548.0
2013,Statistische Region Braunschweig,maennlich,1,K01,53940.0
2013,Statistische Region Braunschweig,weiblich,1,K01,50608.0
2014,Statistische Region Braunschweig,,1,K01,112534.0
2014,Statistische Region Braunschweig,maennlich,1,K01,58394.0
2014,Statistische Region Braunschweig,weiblich,1,K01,54140.0
2015,Statistische Region Braunschweig,,1,K01,130933.0
2015,Statistische Region Braunschweig,maennlich,1,K01,69959.0
2015,Statistische Region Braunschweig,weiblich,1,K01,60974.0
2016,Statistische Region Braunschweig,,1,K01,145155.0
2016,Statistische Region Braunschweig,maennlich,1,K01,78495.0
2016,Statistische Region Braunschweig,weiblich,1,K01,66660.0
2017,Statistische Region Braunschweig,,1,K01,151170.0
2017,Statistische Region Braunschweig,maennlich,1,K01,81570.0
2017,Statistische Region Braunschweig,weiblich,1,K01,69600.0
2018,Statistische Region Braunschweig,,1,K01,158180.0
2018,Statistische Region Braunschweig,maennlich,1,K01,85145.0
2018,Statistische Region Braunschweig,weiblich,1,K01,73030.0
1978,Braunschweig-Stadt,,101,K0101,12395.0
1978,Braunschweig-Stadt,maennlich,101,K0101,7395.0
1978,Braunschweig-Stadt,weiblich,101,K0101,5000.0
1979,Braunschweig-Stadt,,101,K0101,13174.0
1979,Braunschweig-Stadt,maennlich,101,K0101,7907.0
1979,Braunschweig-Stadt,weiblich,101,K0101,5267.0
1980,Braunschweig-Stadt,,101,K0101,14519.0
1980,Braunschweig-Stadt,maennlich,101,K0101,8795.0
1980,Braunschweig-Stadt,weiblich,101,K0101,5724.0
1981,Braunschweig-Stadt,,101,K0101,15451.0
1981,Braunschweig-Stadt,maennlich,101,K0101,9339.0
1981,Braunschweig-Stadt,weiblich,101,K0101,6112.0
1982,Braunschweig-Stadt,,101,K0101,15235.0
1982,Braunschweig-Stadt,maennlich,101,K0101,9108.0
1982,Braunschweig-Stadt,weiblich,101,K0101,6127.0
1983,Braunschweig-Stadt,,101,K0101,14930.0
1983,Braunschweig-Stadt,maennlich,101,K0101,8874.0
1983,Braunschweig-Stadt,weiblich,101,K0101,6056.0
1984,Braunschweig-Stadt,,101,K0101,14427.0
1984,Braunschweig-Stadt,maennlich,101,K0101,8626.0
1984,Braunschweig-Stadt,weiblich,101,K0101,5801.0
1985,Braunschweig-Stadt,,101,K0101,14979.0
1985,Braunschweig-Stadt,maennlich,101,K0101,8961.0
1985,Braunschweig-Stadt,weiblich,101,K0101,6018.0
1986,Braunschweig-Stadt,,101,K0101,15209.0
1986,Braunschweig-Stadt,maennlich,101,K0101,9025.0
1986,Braunschweig-Stadt,weiblich,101,K0101,6184.0
1987,Braunschweig-Stadt,,101,K0101,15475.0
1987,Braunschweig-Stadt,maennlich,101,K0101,9040.0
1987,Braunschweig-Stadt,weiblich,101,K0101,6435.0
1990,Braunschweig-Stadt,,101,K0101,21253.0
1990,Braunschweig-Stadt,maennlich,101,K0101,12415.0
1990,Braunschweig-Stadt,weiblich,101,K0101,8838.0
1991,Braunschweig-Stadt,,101,K0101,25176.0
1991,Braunschweig-Stadt,maennlich,101,K0101,14916.0
1991,Braunschweig-Stadt,weiblich,101,K0101,10260.0
1992,Braunschweig-Stadt,,101,K0101,30916.0
1992,Braunschweig-Stadt,maennlich,101,K0101,18467.0
1992,Braunschweig-Stadt,weiblich,101,K0101,12449.0
1993,Braunschweig-Stadt,,101,K0101,28570.0
1993,Braunschweig-Stadt,maennlich,101,K0101,17280.0
1993,Braunschweig-Stadt,weiblich,101,K0101,11290.0
1994,Braunschweig-Stadt,,101,K0101,20930.0
1994,Braunschweig-Stadt,maennlich,101,K0101,12002.0
1994,Braunschweig-Stadt,weiblich,101,K0101,8928.0
1995,Braunschweig-Stadt,,101,K0101,20645.0
1995,Braunschweig-Stadt,maennlich,101,K0101,11705.0
1995,Braunschweig-Stadt,weiblich,101,K0101,8940.0
1996,Braunschweig-Stadt,,101,K0101,20043.0
1996,Braunschweig-Stadt,maennlich,101,K0101,11326.0
1996,Braunschweig-Stadt,weiblich,101,K0101,8717.0
1997,Braunschweig-Stadt,,101,K0101,19674.0
1997,Braunschweig-Stadt,maennlich,101,K0101,10998.0
1997,Braunschweig-Stadt,weiblich,101,K0101,8676.0
1998,Braunschweig-Stadt,,101,K0101,17392.0
1998,Braunschweig-Stadt,maennlich,101,K0101,9397.0
1998,Braunschweig-Stadt,weiblich,101,K0101,7995.0
1999,Braunschweig-Stadt,,101,K0101,17554.0
1999,Braunschweig-Stadt,maennlich,101,K0101,9433.0
1999,Braunschweig-Stadt,weiblich,101,K0101,8121.0
2000,Braunschweig-Stadt,,101,K0101,17980.0
2000,Braunschweig-Stadt,maennlich,101,K0101,9638.0
2000,Braunschweig-Stadt,weiblich,101,K0101,8342.0
2001,Braunschweig-Stadt,,101,K0101,18070.0
2001,Braunschweig-Stadt,maennlich,101,K0101,9665.0
2001,Braunschweig-Stadt,weiblich,101,K0101,8405.0
2002,Braunschweig-Stadt,,101,K0101,18340.0
2002,Braunschweig-Stadt,maennlich,101,K0101,9753.0
2002,Braunschweig-Stadt,weiblich,101,K0101,8587.0
2003,Braunschweig-Stadt,,101,K0101,18915.0
2003,Braunschweig-Stadt,maennlich,101,K0101,10036.0
2003,Braunschweig-Stadt,weiblich,101,K0101,8879.0
2004,Braunschweig-Stadt,,101,K0101,19236.0
2004,Braunschweig-Stadt,maennlich,101,K0101,10210.0
2004,Braunschweig-Stadt,weiblich,101,K0101,9026.0
2005,Braunschweig-Stadt,,101,K0101,20275.0
2005,Braunschweig-Stadt,maennlich,101,K0101,10835.0
2005,Braunschweig-Stadt,weiblich,101,K0101,9440.0
2006,Braunschweig-Stadt,,101,K0101,20282.0
2006,Braunschweig-Stadt,maennlich,101,K0101,10840.0
2006,Braunschweig-Stadt,weiblich,101,K0101,9442.0
2007,Braunschweig-Stadt,,101,K0101,19875.0
2007,Braunschweig-Stadt,maennlich,101,K0101,10400.0
2007,Braunschweig-Stadt,weiblich,101,K0101,9475.0
2008,Braunschweig-Stadt,,101,K0101,19402.0
2008,Braunschweig-Stadt,maennlich,101,K0101,10079.0
2008,Braunschweig-Stadt,weiblich,101,K0101,9323.0
2009,Braunschweig-Stadt,,101,K0101,19399.0
2009,Braunschweig-Stadt,maennlich,101,K0101,10072.0
2009,Braunschweig-Stadt,weiblich,101,K0101,9327.0
2010,Braunschweig-Stadt,,101,K0101,19660.0
2010,Braunschweig-Stadt,maennlich,101,K0101,10142.0
2010,Braunschweig-Stadt,weiblich,101,K0101,9518.0
2011,Braunschweig-Stadt,,101,K0101,20214.0
2011,Braunschweig-Stadt,maennlich,101,K0101,10423.0
2011,Braunschweig-Stadt,weiblich,101,K0101,9791.0
2012,Braunschweig-Stadt,,101,K0101,20820.0
2012,Braunschweig-Stadt,maennlich,101,K0101,10696.0
2012,Braunschweig-Stadt,weiblich,101,K0101,10124.0
2013,Braunschweig-Stadt,,101,K0101,22122.0
2013,Braunschweig-Stadt,maennlich,101,K0101,11450.0
2013,Braunschweig-Stadt,weiblich,101,K0101,10672.0
2014,Braunschweig-Stadt,,101,K0101,23055.0
2014,Braunschweig-Stadt,maennlich,101,K0101,11948.0
2014,Braunschweig-Stadt,weiblich,101,K0101,11107.0
2015,Braunschweig-Stadt,,101,K0101,26108.0
2015,Braunschweig-Stadt,maennlich,101,K0101,13999.0
2015,Braunschweig-Stadt,weiblich,101,K0101,12109.0
2016,Braunschweig-Stadt,,101,K0101,28200.0
2016,Braunschweig-Stadt,maennlich,101,K0101,15165.0
2016,Braunschweig-Stadt,weiblich,101,K0101,13035.0
2017,Braunschweig-Stadt,,101,K0101,28420.0
2017,Braunschweig-Stadt,maennlich,101,K0101,15260.0
2017,Braunschweig-Stadt,weiblich,101,K0101,13160.0
2018,Braunschweig-Stadt,,101,K0101,29730.0
2018,Braunschweig-Stadt,maennlich,101,K0101,15925.0
2018,Braunschweig-Stadt,weiblich,101,K0101,13805.0
1978,Braunschweig-Stadt,,101,K0101,9253.0
1978,Braunschweig-Stadt,maennlich,101,K0101,5713.0
1978,Braunschweig-Stadt,weiblich,101,K0101,3540.0
1979,Braunschweig-Stadt,,101,K0101,9875.0
1979,Braunschweig-Stadt,maennlich,101,K0101,5989.0
1979,Braunschweig-Stadt,weiblich,101,K0101,3886.0
1980,Braunschweig-Stadt,,101,K0101,10987.0
1980,Braunschweig-Stadt,maennlich,101,K0101,6691.0
1980,Braunschweig-Stadt,weiblich,101,K0101,4296.0
1981,Braunschweig-Stadt,,101,K0101,11587.0
1981,Braunschweig-Stadt,maennlich,101,K0101,6987.0
1981,Braunschweig-Stadt,weiblich,101,K0101,4600.0
1982,Braunschweig-Stadt,,101,K0101,11655.0
1982,Braunschweig-Stadt,maennlich,101,K0101,7004.0
1982,Braunschweig-Stadt,weiblich,101,K0101,4651.0
1983,Braunschweig-Stadt,,101,K0101,11044.0
1983,Braunschweig-Stadt,maennlich,101,K0101,6614.0
1983,Braunschweig-Stadt,weiblich,101,K0101,4430.0
1984,Braunschweig-Stadt,,101,K0101,8749.0
1984,Braunschweig-Stadt,maennlich,101,K0101,5245.0
1984,Braunschweig-Stadt,weiblich,101,K0101,3504.0
1985,Braunschweig-Stadt,,101,K0101,8203.0
1985,Braunschweig-Stadt,maennlich,101,K0101,4879.0
1985,Braunschweig-Stadt,weiblich,101,K0101,3324.0
1986,Braunschweig-Stadt,,101,K0101,8213.0
1986,Braunschweig-Stadt,maennlich,101,K0101,4800.0
1986,Braunschweig-Stadt,weiblich,101,K0101,3413.0
1987,Braunschweig-Stadt,,101,K0101,8339.0
1987,Braunschweig-Stadt,maennlich,101,K0101,4841.0
1987,Braunschweig-Stadt,weiblich,101,K0101,3498.0
1990,Braunschweig-Stadt,,101,K0101,9877.0
1990,Braunschweig-Stadt,maennlich,101,K0101,5625.0
1990,Braunschweig-Stadt,weiblich,101,K0101,4252.0
1991,Braunschweig-Stadt,,101,K0101,10752.0
1991,Braunschweig-Stadt,maennlich,101,K0101,6225.0
1991,Braunschweig-Stadt,weiblich,101,K0101,4527.0
1992,Braunschweig-Stadt,,101,K0101,12045.0
1992,Braunschweig-Stadt,maennlich,101,K0101,7058.0
1992,Braunschweig-Stadt,weiblich,101,K0101,4987.0
1993,Braunschweig-Stadt,,101,K0101,12283.0
1993,Braunschweig-Stadt,maennlich,101,K0101,7022.0
1993,Braunschweig-Stadt,weiblich,101,K0101,5261.0
1994,Braunschweig-Stadt,,101,K0101,12511.0
1994,Braunschweig-Stadt,maennlich,101,K0101,7098.0
1994,Braunschweig-Stadt,weiblich,101,K0101,5413.0
1995,Braunschweig-Stadt,,101,K0101,12613.0
1995,Braunschweig-Stadt,maennlich,101,K0101,7061.0
1995,Braunschweig-Stadt,weiblich,101,K0101,5552.0
1996,Braunschweig-Stadt,,101,K0101,12541.0
1996,Braunschweig-Stadt,maennlich,101,K0101,6987.0
1996,Braunschweig-Stadt,weiblich,101,K0101,5554.0
1997,Braunschweig-Stadt,,101,K0101,12383.0
1997,Braunschweig-Stadt,maennlich,101,K0101,6829.0
1997,Braunschweig-Stadt,weiblich,101,K0101,5554.0
1998,Braunschweig-Stadt,,101,K0101,12182.0
1998,Braunschweig-Stadt,maennlich,101,K0101,6649.0
1998,Braunschweig-Stadt,weiblich,101,K0101,5533.0
1999,Braunschweig-Stadt,,101,K0101,11819.0
1999,Braunschweig-Stadt,maennlich,101,K0101,6366.0
1999,Braunschweig-Stadt,weiblich,101,K0101,5453.0
2000,Braunschweig-Stadt,,101,K0101,11657.0
2000,Braunschweig-Stadt,maennlich,101,K0101,6280.0
2000,Braunschweig-Stadt,weiblich,101,K0101,5377.0
2001,Braunschweig-Stadt,,101,K0101,11581.0
2001,Braunschweig-Stadt,maennlich,101,K0101,6188.0
2001,Braunschweig-Stadt,weiblich,101,K0101,5393.0
2002,Braunschweig-Stadt,,101,K0101,11133.0
2002,Braunschweig-Stadt,maennlich,101,K0101,5871.0
2002,Braunschweig-Stadt,weiblich,101,K0101,5262.0
2003,Braunschweig-Stadt,,101,K0101,10913.0
2003,Braunschweig-Stadt,maennlich,101,K0101,5752.0
2003,Braunschweig-Stadt,weiblich,101,K0101,5161.0
2004,Braunschweig-Stadt,,101,K0101,10665.0
2004,Braunschweig-Stadt,maennlich,101,K0101,5578.0
2004,Braunschweig-Stadt,weiblich,101,K0101,5087.0
2005,Braunschweig-Stadt,,101,K0101,10721.0
2005,Braunschweig-Stadt,maennlich,101,K0101,5572.0
2005,Braunschweig-Stadt,weiblich,101,K0101,5149.0
2006,Braunschweig-Stadt,,101,K0101,10474.0
2006,Braunschweig-Stadt,maennlich,101,K0101,5396.0
2006,Braunschweig-Stadt,weiblich,101,K0101,5078.0
2007,Braunschweig-Stadt,,101,K0101,10224.0
2007,Braunschweig-Stadt,maennlich,101,K0101,5189.0
2007,Braunschweig-Stadt,weiblich,101,K0101,5035.0
2008,Braunschweig-Stadt,,101,K0101,10191.0
2008,Braunschweig-Stadt,maennlich,101,K0101,5196.0
2008,Braunschweig-Stadt,weiblich,101,K0101,4995.0
2009,Braunschweig-Stadt,,101,K0101,10062.0
2009,Braunschweig-Stadt,maennlich,101,K0101,5160.0
2009,Braunschweig-Stadt,weiblich,101,K0101,4902.0
2010,Braunschweig-Stadt,,101,K0101,9810.0
2010,Braunschweig-Stadt,maennlich,101,K0101,4963.0
2010,Braunschweig-Stadt,weiblich,101,K0101,4847.0
2011,Braunschweig-Stadt,,101,K0101,9804.0
2011,Braunschweig-Stadt,maennlich,101,K0101,4942.0
2011,Braunschweig-Stadt,weiblich,101,K0101,4862.0
2012,Braunschweig-Stadt,,101,K0101,9918.0
2012,Braunschweig-Stadt,maennlich,101,K0101,5007.0
2012,Braunschweig-Stadt,weiblich,101,K0101,4911.0
2013,Braunschweig-Stadt,,101,K0101,10596.0
2013,Braunschweig-Stadt,maennlich,101,K0101,5454.0
2013,Braunschweig-Stadt,weiblich,101,K0101,5142.0
2014,Braunschweig-Stadt,,101,K0101,11620.0
2014,Braunschweig-Stadt,maennlich,101,K0101,6074.0
2014,Braunschweig-Stadt,weiblich,101,K0101,5546.0
2015,Braunschweig-Stadt,,101,K0101,13554.0
2015,Braunschweig-Stadt,maennlich,101,K0101,7267.0
2015,Braunschweig-Stadt,weiblich,101,K0101,6287.0
2016,Braunschweig-Stadt,,101,K0101,16885.0
2016,Braunschweig-Stadt,maennlich,101,K0101,9265.0
2016,Braunschweig-Stadt,weiblich,101,K0101,7620.0
2017,Braunschweig-Stadt,,101,K0101,18835.0
2017,Braunschweig-Stadt,maennlich,101,K0101,10280.0
2017,Braunschweig-Stadt,weiblich,101,K0101,8560.0
2018,Braunschweig-Stadt,,101,K0101,19850.0
2018,Braunschweig-Stadt,maennlich,101,K0101,10805.0
2018,Braunschweig-Stadt,weiblich,101,K0101,9045.0
1978,Wolfsburg-Stadt,,103,K0103,10650.0
1978,Wolfsburg-Stadt,maennlich,103,K0103,6944.0
1978,Wolfsburg-Stadt,weiblich,103,K0103,3706.0
1979,Wolfsburg-Stadt,,103,K0103,10997.0
1979,Wolfsburg-Stadt,maennlich,103,K0103,7193.0
1979,Wolfsburg-Stadt,weiblich,103,K0103,3804.0
1980,Wolfsburg-Stadt,,103,K0103,11793.0
1980,Wolfsburg-Stadt,maennlich,103,K0103,7758.0
1980,Wolfsburg-Stadt,weiblich,103,K0103,4035.0
1981,Wolfsburg-Stadt,,103,K0103,12106.0
1981,Wolfsburg-Stadt,maennlich,103,K0103,7841.0
1981,Wolfsburg-Stadt,weiblich,103,K0103,4265.0
1982,Wolfsburg-Stadt,,103,K0103,12045.0
1982,Wolfsburg-Stadt,maennlich,103,K0103,7685.0
1982,Wolfsburg-Stadt,weiblich,103,K0103,4360.0
1983,Wolfsburg-Stadt,,103,K0103,11475.0
1983,Wolfsburg-Stadt,maennlich,103,K0103,7268.0
1983,Wolfsburg-Stadt,weiblich,103,K0103,4207.0
1984,Wolfsburg-Stadt,,103,K0103,10870.0
1984,Wolfsburg-Stadt,maennlich,103,K0103,6726.0
1984,Wolfsburg-Stadt,weiblich,103,K0103,4144.0
