Year,Gebietseinheit,GeoCode,Value
2012,Diepholz,K03251,43.0
2012,Hameln-Pyrmont,K03252,54.97
2012,Hildesheim,K03254,73.28
2012,Holzminden,K03255,35.36
2012,Nienburg (Weser,K03256,25.79
2012,Schaumburg,K03257,53.77
2012,Celle,K03351,45.36
2012,Cuxhaven,K03352,35.49
2012,Harburg,K03353,82.4
2012,Lüchow-Dannenbe,K03354,13.32
2012,Lüneburg,K03355,75.76
2012,Osterholz,K03356,53.53
2012,Rotenburg (Wümm,K03357,25.58
2012,Heidekreis,K03358,32.3
2012,Stade,K03359,76.0
2012,Uelzen,K03360,25.34
2012,Verden,K03361,54.42
2012,Delmenhorst-Sta,K03401,95.93
2012,Emden-Stadt,K03402,75.1
2012,Oldenburg(Oldb),K03403,132.78
2012,Osnabrück-Stadt,K03404,154.7
2012,Wilhelmshaven-S,K03405,57.01
2012,Ammerland,K03451,50.37
2012,Aurich,K03452,41.23
2012,Cloppenburg,K03453,32.57
2012,Emsland,K03454,43.38
2012,Friesland,K03455,66.38
2012,Grafschaft Bent,K03456,48.1
2012,Leer,K03457,37.08
2012,Oldenburg,K03458,47.59
2012,Osnabrück,K03459,38.85
2012,Vechta,K03460,43.52
2012,Wesermarsch,K03461,22.08
2012,Wittmund,K03462,59.86
2012,Stat. Region Braunschweig,,59.62
2012,Stat. Region Hannover,,77.05
2012,Stat. Region Lüneburg,,54.47
2012,Stat. Region Weser-Ems,,49.4
2012,Niedersachsen,,57.03
2011,Braunschweig-St,K03101,66.28
2011,Salzgitter-Stad,K03102,82.49
2011,Wolfsburg-Stadt,K03103,108.03
2011,Gifhorn,K03151,43.23
2011,Goslar,K03153,35.7
2011,Helmstedt,K03154,50.37
2011,Northeim,K03155,31.05
2011,Peine,K03157,50.24
2011,Wolfenbüttel,K03158,74.9
2011,Göttingen,K03159,94.28
2011,Hannover-Region,K03241,102.06
2011,Diepholz,K03251,37.42
2011,Hameln-Pyrmont,K03252,42.42
2011,Hildesheim,K03254,64.12
2011,Holzminden,K03255,52.48
2011,Nienburg (Weser,K03256,22.5
2011,Schaumburg,K03257,42.49
2011,Celle,K03351,41.81
2011,Cuxhaven,K03352,53.78
2011,Harburg,K03353,93.52
2011,Lüchow-Dannenbe,K03354,16.12
2011,Lüneburg,K03355,75.73
2011,Osterholz,K03356,53.18
2011,Rotenburg (Wümm,K03357,26.03
2011,Heidekreis,K03358,41.04
2011,Stade,K03359,65.23
2011,Uelzen,K03360,43.64
2011,Verden,K03361,63.37
2011,Delmenhorst-Sta,K03401,75.22
2011,Emden-Stadt,K03402,41.9
2011,Oldenburg(Oldb),K03403,114.09
2011,Osnabrück-Stadt,K03404,93.15
2011,Wilhelmshaven-S,K03405,61.58
2011,Ammerland,K03451,54.56
2011,Aurich,K03452,35.63
2011,Cloppenburg,K03453,34.04
2011,Emsland,K03454,37.3
2011,Friesland,K03455,51.78
2011,Grafschaft Bent,K03456,34.56
2011,Leer,K03457,35.79
2011,Oldenburg,K03458,67.19
2011,Osnabrück,K03459,46.17
2011,Vechta,K03460,38.66
2011,Wesermarsch,K03461,37.21
2011,Wittmund,K03462,27.73
2011,Stat. Region Braunschweig,,57.79
2011,Stat. Region Hannover,,68.12
2011,Stat. Region Lüneburg,,61.59
2011,Stat. Region Weser-Ems,,46.01
2011,Niedersachsen,,55.58
2010,Braunschweig-St,K03101,112.39
2010,Salzgitter-Stad,K03102,58.85
2010,Wolfsburg-Stadt,K03103,93.05
2010,Gifhorn,K03151,59.58
2010,Goslar,K03153,41.92
2010,Helmstedt,K03154,33.02
2010,Northeim,K03155,35.13
2010,Peine,K03157,71.1
2010,Wolfenbüttel,K03158,80.54
2010,Göttingen,K03159,98.02
2010,Hannover-Region,K03241,129.08
2010,Diepholz,K03251,32.83
2010,Hameln-Pyrmont,K03252,38.43
2010,Hildesheim,K03254,51.94
2010,Holzminden,K03255,35.04
2010,Nienburg (Weser,K03256,15.82
2010,Schaumburg,K03257,38.13
2010,Celle,K03351,34.37
2010,Cuxhaven,K03352,42.68
2010,Harburg,K03353,79.12
2010,Lüchow-Dannenbe,K03354,10.53
2010,Lüneburg,K03355,69.12
2010,Osterholz,K03356,60.61
2010,Rotenburg (Wümm,K03357,31.9
2010,Heidekreis,K03358,41.4
2010,Stade,K03359,51.24
2010,Uelzen,K03360,19.48
2010,Verden,K03361,58.3
2010,Delmenhorst-Sta,K03401,62.74
2010,Emden-Stadt,K03402,63.27
2010,Oldenburg(Oldb),K03403,118.92
2010,Osnabrück-Stadt,K03404,140.4
2010,Wilhelmshaven-S,K03405,43.31
2010,Ammerland,K03451,52.89
2010,Aurich,K03452,26.6
2010,Cloppenburg,K03453,28.58
2010,Emsland,K03454,37.65
2010,Friesland,K03455,67.08
2010,Grafschaft Bent,K03456,29.78
2010,Leer,K03457,40.23
2010,Oldenburg,K03458,58.27
2010,Osnabrück,K03459,50.45
2010,Vechta,K03460,34.09
2010,Wesermarsch,K03461,24.29
2010,Wittmund,K03462,36.7
2010,Stat. Region Braunschweig,,71.08
2010,Stat. Region Hannover,,67.02
2010,Stat. Region Lüneburg,,54.22
2010,Stat. Region Weser-Ems,,42.55
2010,Niedersachsen,,53.51
